id_choice,id_user,font_a,font_b,winning_font,matchup,bracket,dwell_time_a,dwell_time_b,views_a,views_b,width,height,device,step,timestamp,user_type,loser
143,10,franklin_gothic,avenir_next,avenir_next,1,winners,9221,12186,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171075944,csail_framingham,franklin_gothic
144,10,calibri,lato,lato,2,winners,11922,16180,3,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171083892,csail_framingham,calibri
145,10,franklin_gothic,calibri,calibri,4,losers,5022,7633,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171089019,csail_framingham,franklin_gothic
146,10,avenir_next,lato,lato,5,winners,6622,10182,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171095965,csail_framingham,avenir_next
147,10,avenir_next,calibri,calibri,7,losers,49615,61631,5,5,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171117558,csail_framingham,avenir_next
148,10,lato,calibri,lato,8,final,38009,31020,5,4,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171131845,csail_framingham,calibri
149,10,lato,avenir_next,lato,8,validation,12776,9462,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171139200,csail_framingham,avenir_next
150,10,lato,avenir_next,lato,8,validation,17154,11286,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171146849,csail_framingham,avenir_next
151,10,calibri,avenir_next,avenir_next,8,validation,11257,14670,3,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171154865,csail_framingham,calibri
152,10,noto_sans,arial,noto_sans,1,winners,7443,3333,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171241920,csail_framingham,arial
153,10,garamond,utopia,utopia,2,winners,16308,21394,3,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171252235,csail_framingham,garamond
154,10,arial,garamond,arial,4,losers,12912,8529,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171259878,csail_framingham,garamond
155,10,utopia,noto_sans,utopia,5,winners,33061,25801,5,4,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171272796,csail_framingham,noto_sans
156,10,arial,noto_sans,noto_sans,7,losers,5040,8329,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171278240,csail_framingham,arial
157,10,utopia,noto_sans,utopia,8,final,23326,17477,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171291220,csail_framingham,noto_sans
158,10,noto_sans,arial,noto_sans,8,validation,5299,2676,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171295087,csail_framingham,arial
159,10,noto_sans,arial,noto_sans,8,validation,5143,2404,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171298544,csail_framingham,arial
160,10,noto_sans,arial,noto_sans,8,validation,7013,2947,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171303423,csail_framingham,arial
161,10,oswald,poynter_gothic_text,poynter_gothic_text,1,winners,15325,19009,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171429867,csail_framingham,oswald
162,10,times,avantgarde,times,2,winners,11039,7409,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171435879,csail_framingham,avantgarde
163,10,avantgarde,oswald,avantgarde,4,losers,5514,2465,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171440195,csail_framingham,oswald
164,10,times,poynter_gothic_text,times,5,winners,21262,15727,4,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171450829,csail_framingham,poynter_gothic_text
165,10,avantgarde,poynter_gothic_text,poynter_gothic_text,7,losers,4794,7304,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171455860,csail_framingham,avantgarde
166,10,poynter_gothic_text,times,poynter_gothic_text,8,final,18613,13582,4,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171465011,csail_framingham,times
167,10,poynter_gothic_text,times,poynter_gothic_text,9,final,12679,9338,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171473613,csail_framingham,times
168,10,poynter_gothic_text,avantgarde,poynter_gothic_text,9,validation,4727,2286,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171477018,csail_framingham,avantgarde
169,10,times,poynter_gothic_text,poynter_gothic_text,9,validation,20665,31728,3,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171493000,csail_framingham,times
170,10,poynter_gothic_text,avantgarde,poynter_gothic_text,9,validation,4967,2173,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171496377,csail_framingham,avantgarde
171,10,montserrat,open_sans,open_sans,1,winners,10531,14552,3,3,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171613371,csail_framingham,montserrat
172,10,helvetica,roboto,roboto,2,winners,255265,278424,13,13,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171654363,csail_framingham,helvetica
173,10,montserrat,helvetica,helvetica,4,losers,4139,6458,2,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171658610,csail_framingham,montserrat
174,10,roboto,open_sans,roboto,5,winners,5696,2672,2,1,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171662990,csail_framingham,open_sans
175,10,helvetica,open_sans,helvetica,7,losers,11419,7376,3,2,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171669450,csail_framingham,open_sans
176,10,helvetica,roboto,helvetica,8,final,129671,115475,11,10,1237,656,Firefox|*|Ubuntu|*|undefined,normal,1566171693882,csail_framingham,roboto
