group,id_user,font,champ,wpm,font_fam,score,passage_fam,passage_int,user_type,is_best?,is_worst?
csail_framingham,11,times,1,557,3,1,3,2,csail_framingham,1,0
plt2_mturk,191,avantgarde,,585,2,1,4,3,plt2_mturk,1,0
plt2_mturk,196,noto_sans,,448,2,1,1,1,plt2_mturk,1,0
plt2_mturk,196,oswald,,609.5,2,0.75,2,3,plt2_mturk,0,1
csail_framingham,11,poynter_gothic_text,,329,3,0.75,3,1,csail_framingham,0,0
csail_framingham,11,lato,,298,3,0.75,1,3,csail_framingham,0,0
csail_framingham,12,montserrat,,531,2,1,3,3,csail_framingham,1,0
plt2_mturk,196,avenir_next,,530,2,1,4,4,plt2_mturk,1,0
plt2_mturk,167,calibri,,605.5,2,1,3,2,plt2_mturk,1,0
csail_framingham,12,poynter_gothic_text,,403,1,1,2,2,csail_framingham,1,0
csail_framingham,37,arial,1,599.3,3,0.75,3,3,csail_framingham,0,0
usertesting_exp2_pilot,24,garamond,,409,2,0.75,2,2,usertesting_exp2_pilot,0,0
csail_framingham,10,open_sans,,570.8,2,1,3,1,csail_framingham,1,0
plt2_mturk,155,franklin_gothic,,500.3,1,1,2,2,plt2_mturk,1,0
plt2_mturk,155,times,,552,1,1,1,3,plt2_mturk,1,0
csail_framingham,37,poynter_gothic_text,,499.7,1,1,3,1,csail_framingham,1,0
plt2_mturk,211,poynter_gothic_text,,362.5,2,0.75,5,4,plt2_mturk,0,0
plt2_mturk,155,arial,1,464,1,1,1,4,plt2_mturk,1,0
plt2_mturk,166,lato,,441.5,1,1,5,3,plt2_mturk,1,0
csail_framingham,11,roboto,,291.5,3,0.5,2,1,csail_framingham,0,1
plt2_mturk,166,times,,507,2,0.75,1,3,plt2_mturk,0,1
csail_framingham,10,roboto,,448.3,3,1,3,2,csail_framingham,1,0
plt2_mturk,211,montserrat,,453.3,2,0.75,5,4,plt2_mturk,0,0
csail_framingham,37,times,,449,3,0.75,5,4,csail_framingham,0,1
usertesting_exp2_pilot,31,calibri,,503.7,3,0.75,5,2,usertesting_exp2_pilot,0,0
plt2_mturk,196,times,,477.4,2,0.88,1,1,plt2_mturk,0,0
csail_framingham,10,avenir_next,,490.3,1,1,2,2,csail_framingham,1,0
csail_framingham,12,utopia,,247,2,0.75,2,2,csail_framingham,0,0
csail_framingham,12,avenir_next,,266,2,1,2,2,csail_framingham,1,0
csail_framingham,11,calibri,,474.5,3,0.75,3,2,csail_framingham,0,0
plt2_mturk,198,times,,361.7,3,0.75,5,5,plt2_mturk,0,1
usertesting_exp2_pilot,31,helvetica,1,466.4,2,0.75,5,2,usertesting_exp2_pilot,0,1
plt2_mturk,167,lato,,387.3,1,1,2,3,plt2_mturk,1,0
usertesting_exp2_pilot,30,franklin_gothic,,458,2,0.75,2,2,usertesting_exp2_pilot,0,0
plt2_mturk,167,times,,454.8,2,1,1,4,plt2_mturk,1,0
csail_framingham,37,lato,,451.8,1,1,2,3,csail_framingham,1,0
usertesting_exp2_pilot,30,times,,451.3,3,0.75,2,4,usertesting_exp2_pilot,0,1
usertesting_exp2_pilot,30,lato,,445.5,1,1,2,3,usertesting_exp2_pilot,1,0
csail_framingham,37,noto_sans,,445,1,1,5,1,csail_framingham,1,0
plt2_mturk,166,avantgarde,,439,1,1,4,2,plt2_mturk,1,0
