id_user,outlier?,in_post?,font_familiarity,font,device,device_code,age,gender,language,lang_comf,Start,Stop,minutes,WPM,avg_comp
3,0,0,3,utopia,Desktop,4,51,male,English,Very comfortable,9/13/2019,9/13/2019,36.6,266.4,1.00
4,0,0,2,noto_sans,Laptop,3,33,,English,Very comfortable,9/13/2019,9/13/2019,18.2,463.7,1.00
5,0,0,3,calibri,Laptop,3,26,Male,English,Very comfortable,9/13/2019,9/13/2019,22.4,303.0,0.90
6,0,0,2,poynter_gothic_text,Laptop,3,32,female,English,Very comfortable,9/13/2019,9/13/2019,25.9,195.4,0.80
7,0,0,2,helvetica,Laptop,3,27,female,English,Very comfortable,9/13/2019,9/13/2019,29.3,198.9,0.90
9,0,0,2,calibri,Laptop,3,22,Female,English,Very comfortable,9/13/2019,9/13/2019,21.7,327.6,1.00
10,0,0,3,roboto,Desktop,4,40,Female,English,Very comfortable,9/13/2019,9/13/2019,25.7,205.6,0.80
12,0,0,3,noto_sans,Laptop,3,37,female,English,Very comfortable,9/13/2019,9/13/2019,27.5,207.8,1.00
13,0,0,3,noto_sans,Laptop,3,29,Male,German,Very comfortable,9/13/2019,9/13/2019,43.4,162.7,0.92
14,0,0,3,utopia,Desktop,4,30,female,English,Very comfortable,9/13/2019,9/13/2019,31.5,270.6,1.00
19,0,0,3,open_sans,Laptop,3,21,Female,English,Very comfortable,9/13/2019,9/13/2019,23.4,365.5,0.90
22,0,0,3,times,Desktop,4,26,Female,English,Very comfortable,9/13/2019,9/13/2019,29.4,341.9,0.83
23,0,0,1,utopia,Desktop,4,33,Male,English,Very comfortable,9/13/2019,9/13/2019,26.0,268.5,0.90
24,0,0,3,arial,Desktop,4,60,male,English,Very comfortable,9/13/2019,9/13/2019,42.7,172.5,1.00
25,0,0,2,open_sans,Desktop,4,31,Male,English,Very comfortable,9/13/2019,9/13/2019,24.7,357.1,1.00
28,0,0,2,avantgarde,Laptop,3,32,Female,English,Very comfortable,9/13/2019,9/13/2019,31.2,218.1,0.80
29,0,0,1,open_sans,Laptop,3,25,Male,Spanish,Very comfortable,9/13/2019,9/13/2019,47.6,131.4,0.90
30,0,0,2,helvetica,Desktop,4,30,Male,English,Very comfortable,9/13/2019,9/13/2019,19.9,363.8,0.83
32,0,0,3,garamond,Desktop,4,31,female,English,Very comfortable,9/13/2019,9/13/2019,26.3,299.4,0.90
35,0,0,1,open_sans,Desktop,4,37,Female,Thai,Very comfortable,9/13/2019,9/13/2019,30.0,169.2,0.90
37,0,0,2,noto_sans,Laptop,3,24,Male,English,Very comfortable,9/13/2019,9/13/2019,18.7,338.3,0.83
38,0,0,2,avenir_next,Laptop,3,34,male,English,Very comfortable,9/13/2019,9/13/2019,37.6,319.0,1.00
41,0,0,2,calibri,Laptop,3,39,Male,English,Very comfortable,9/13/2019,9/13/2019,32.9,155.8,0.90
42,0,0,1,lato,Desktop,4,40,female,English,Very comfortable,9/13/2019,9/13/2019,22.7,308.7,1.00
44,0,0,3,times,Desktop,4,42,Male,English,Very comfortable,9/13/2019,9/13/2019,39.4,340.3,0.92
49,0,0,2,garamond,Laptop,3,25,Female,English,Very comfortable,9/13/2019,9/13/2019,25.5,211.9,0.80
50,0,0,2,montserrat,Laptop,3,39,male,English,Very comfortable,9/13/2019,9/13/2019,29.8,265.9,0.90
53,0,0,2,arial,Desktop,4,52,Male,English,Very comfortable,9/13/2019,9/13/2019,37.8,239.8,0.80
54,0,0,3,franklin_gothic,Laptop,3,40,male,English,Very comfortable,9/13/2019,9/13/2019,28.2,250.0,0.90
63,0,0,3,times,Laptop,3,24,Female,English,Very comfortable,9/13/2019,9/13/2019,20.8,335.7,0.92
66,0,0,2,times,Desktop,4,28,male,English,Very comfortable,9/13/2019,9/13/2019,36.5,190.3,0.83
70,0,0,3,utopia,Desktop,4,30,Female,English,Very comfortable,9/13/2019,9/13/2019,36.8,207.9,1.00
73,0,0,3,montserrat,Desktop,4,35,Male,English,Very comfortable,9/13/2019,9/13/2019,32.9,182.5,0.90
81,0,0,2,helvetica,Laptop,3,35,female,arabic,Very comfortable,9/13/2019,9/13/2019,24.3,351.9,0.70
82,0,0,3,utopia,Laptop,3,30,female,English,Very comfortable,9/13/2019,9/13/2019,46.3,157.9,1.00
83,0,0,2,helvetica,Laptop,3,25,Female,English,Very comfortable,9/13/2019,9/13/2019,20.6,303.4,0.90
85,0,0,1,montserrat,Laptop,3,34,female,English,Very comfortable,9/13/2019,9/13/2019,28.9,264.6,0.80
86,0,0,2,avantgarde,Desktop,4,31,male,English,Very comfortable,9/13/2019,9/13/2019,18.5,526.6,0.95
87,0,0,2,helvetica,Desktop,4,42,Male,English,Very comfortable,9/13/2019,9/13/2019,38.2,265.8,0.95
88,0,0,2,calibri,Laptop,3,22,Female,English,Very comfortable,9/13/2019,9/13/2019,19.5,435.5,0.90
89,0,0,1,avenir_next,Laptop,3,35,Female,English,Very comfortable,9/13/2019,9/13/2019,29.5,216.9,1.00
93,0,0,3,oswald,Desktop,4,34,Female,English,Very comfortable,9/13/2019,9/13/2019,41.3,181.8,1.00
94,0,0,2,open_sans,Laptop,3,39,male,English,Very comfortable,9/13/2019,9/13/2019,42.1,182.8,0.95
95,0,0,1,noto_sans,Laptop,3,28,female,English,Very comfortable,9/13/2019,9/13/2019,23.9,254.2,0.95
96,0,0,3,garamond,Laptop,3,21,Female,English,Very comfortable,9/13/2019,9/13/2019,27.7,289.0,0.85
97,0,0,1,roboto,Desktop,4,56,,English,Very comfortable,9/13/2019,9/13/2019,38.2,160.4,0.86
100,0,0,3,helvetica,Desktop,4,29,Female,English,Very comfortable,9/13/2019,9/13/2019,24.2,236.5,0.85
101,0,0,2,garamond,Laptop,3,33,Female,English,Very comfortable,9/13/2019,9/13/2019,41.2,433.2,0.90
102,0,0,3,helvetica,Laptop,3,41,male,English,Very comfortable,9/13/2019,9/13/2019,35.6,170.3,1.00
106,0,0,3,garamond,Laptop,3,21,Female,English,Very comfortable,9/13/2019,9/13/2019,24.8,327.8,0.95
107,0,0,,avenir_next,Laptop,3,40,Male,English,Very comfortable,9/13/2019,9/13/2019,25.4,216.6,0.85
110,0,0,2,open_sans,Laptop,3,26,Female,English,Very comfortable,9/13/2019,9/13/2019,38.7,204.8,0.90
111,0,0,2,calibri,Laptop,3,50,Male,English,Very comfortable,9/13/2019,9/13/2019,32.7,202.8,1.00
112,0,0,3,oswald,Tablet,2,21,male,English,Very comfortable,9/13/2019,9/13/2019,32.3,367.4,0.95
113,0,0,2,garamond,Laptop,3,31,Male,English,Very comfortable,9/13/2019,9/13/2019,23.0,264.8,0.90
114,0,0,1,open_sans,Laptop,3,24,male,English,Very comfortable,9/13/2019,9/13/2019,49.3,193.3,0.95
115,0,0,2,franklin_gothic,Desktop,4,22,Male,English,Very comfortable,9/13/2019,9/13/2019,34.0,207.8,1.00
