id_user,arial,avantgarde,avenir_next,calibri,franklin_gothic,garamond,helvetica,lato,montserrat,noto_sans,open_sans,oswald,poynter_gothic_text,roboto,times,utopia
4,459,,,474,,,,,,563.6666667,,,,398,374,
5,288.5,,,330,,,,,,290,,,,318.5,288,
10,204.5,,,223,,,,,,241,,,,164.5,195,
9,341,,,308,,,,,,365.5,,,,346,277.5,
7,189,,,204,,,197,,,196,,,,,208.5,
19,370,,,372.5,,,,,,369,346.5,,,,369.5,
12,149,,,212,,,,,,233.25,,,,191.5,227.5,
6,193.5,,,192.5,,,,,,182.5,,,198,,210.5,
3,228.5,,,276.5,,,,,,251,,,,,319.5,256.5
13,162,,,157.5,,,,,,165.5,,,,161.5,164,
23,254,,,311.5,,,,,,209.5,,,,,271.5,296
22,373.5,,,278.5,,,,,,318,,,,407,337.25,
14,257,,,270.5,,,,,,269.5,,,,,264,292
30,338.5,,,363.5,,,374.5,,,336,,,,,406.5,
25,430.5,,,327.5,,,,,,351.5,370.5,,,,305.5,
37,413.5,,,280.5,,,,,,341.5,,,,304,348.5,
28,219,226,,240,,,,,,203,,,,,202.5,
35,154.5,,,181,,,,,,154.5,181,,,,175,
32,314,,,357.5,,272.5,,,,282.5,,,,,270.5,
42,306.5,,,289,,,,360,,301,,,,,287,
41,150,,,182.5,,,,,,146,,,,130.5,170,
38,283.5,,282.5,374.5,,,,,,296,,,,,358.5,
24,144,,,191,,,,,,191.5,,,,148,188,
49,220.5,,,225,,203,,,,208.5,,,,,202.5,
50,285,,,185,,,,,356.5,225.5,,,,,277.5,
29,141,,,123.5,,,,,,116.5,135,,,,164,
44,360.5,,,365.5,,,,,,317.5,,,,301.5,348.25,
54,249,,,237,236,,,,,299.5,,,,,228.5,
53,253.5,,,254.5,,,,,,209.5,,,,220,261.5,
63,320,,,325.5,,,,,,274.5,,,,291.5,401.25,
66,209.5,,,191.5,,,,,,200,,,,159.5,190.5,
70,246.5,,,197,,,,,,202,,,,,229.5,164.5
73,175,,,171.5,,,,,192.5,190,,,,,183.5,
81,378.5,,,342,,,308,,,369.5,,,,,361.5,
86,533,480,,551,,,,,,504.5,,,,,557,
83,308,,,273.5,,,316.25,,,309.5,,,,,309.75,
88,489.3333333,,,441.5,,,,,,428,,,,405.6666667,413.6666667,
85,251.5,,,312.5,,,,,272.5,226.5,,,,,260,
95,249.75,,,236.25,,,,,,257,,,,274.75,249.5,
89,230.25,,237.5,196.5,,,,,,189.25,,,,,231,
87,283.25,,,265.25,,,258.5,,,250.25,,,,,271.75,
96,306.25,,,276,,308,,,,304.5,,,,,250.25,
82,170.3333333,,,184.6666667,,,,,,167,,,,,133.75,150.25
100,241.25,,,222,,,242.75,,,244.25,,,,,232,
93,157.25,,,184,,,,,,175,,216,,,176.5,
94,187,,,168.5,,,,,,185.75,194,,,,178.5,
97,149.5,,,168,,,,,,164.25,,,,162.75,157.5,
107,223.5,,234,232.5,,,,,,201.75,,,,,191.25,
106,322.5,,,306,,341.25,,,,332.5,,,,,336.75,
101,452.75,,,456,,437.75,,,,366.5,,,,,464.5,
102,177,,,161,,,183,,,163.5,,,,,166.75,
113,260,,,269.25,,268.25,,,,274.5,,,,,252,
114,220.6666667,,,170,,,,,,174.25,196,,,,212.25,
112,302,,,376.3333333,,,,,,465.6666667,,297.75,,,520,
111,198.5,,,218,,,,,,199.25,,,,209,189,
110,185.5,,,170.3333333,,,,,,202,222,,,,239.75,
119,219.5,,,266.75,,,,,,237.5,,,,280,237.5,
115,189,,,218.75,205.75,,,,,219.5,,,,,206,
123,221.5,,235.75,258.25,,,,,,224,,,,,251.75,
127,322.5,,,307,,,,,310,272,,,,,248.25,
118,215.25,,,252.25,,,220.75,,,205,,,,,222.75,
120,273,,,281.25,,,251.75,,,283.75,,,,,270.75,
121,234.25,,,212.5,,198,,,,251.25,,,,,222.25,
129,282.5,,,312,,,,,,320,,,,278,254.75,
