count,id_user,most_preferred,arial,avantgarde,avenir_next,calibri,franklin_gothic,garamond,helvetica,lato,montserrat,noto_sans,open_sans,oswald,poynter_gothic_text,roboto,times,utopia,MAX,MAX user,MIN user,DIFF user,MOST user,preferred_fastest,noto_fastest,times_fastest,max-most_preferred,random1,random2,random3
1,82,utopia,170.3333333,0.0,0.0,184.6666667,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,133.75,150.25,631,184.6666667,133.75,50.91666670000001,150.25,B,B,C,34.41666670000001,170.3333333,184.6666667,0
2,83,helvetica,308.0,0.0,0.0,273.5,0.0,0.0,316.25,0.0,0.0,309.5,0.0,0.0,0.0,0.0,309.75,0.0,631,316.25,273.5,42.75,316.25,A,B,B,0.0,308.0,273.5,0
3,85,montserrat,251.5,0.0,0.0,312.5,0.0,0.0,0.0,0.0,272.5,226.5,0.0,0.0,0.0,0.0,260.0,0.0,631,312.5,226.5,86.0,272.5,B,C,B,40.0,251.5,312.5,0
4,86,avantgarde,533.0,480.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,504.5,0.0,0.0,0.0,0.0,557.0,0.0,631,557.0,480.0,77.0,480.0,C,B,A,77.0,533.0,551.0,0
5,87,helvetica,283.25,0.0,0.0,265.25,0.0,0.0,258.5,0.0,0.0,250.25,0.0,0.0,0.0,0.0,271.75,0.0,631,283.25,250.25,33.0,258.5,B,C,B,24.75,283.25,265.25,0
6,88,calibri,489.3333333,0.0,0.0,441.5,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,405.6666667,413.6666667,0.0,631,489.3333333,405.6666667,83.66666659999999,441.5,B,B,B,47.83333329999999,489.3333333,405.6666667,0
7,89,avenir_next,230.25,0.0,237.5,196.5,0.0,0.0,0.0,0.0,0.0,189.25,0.0,0.0,0.0,0.0,231.0,0.0,631,237.5,189.25,48.25,237.5,A,C,B,0.0,230.25,196.5,0
8,93,oswald,157.25,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,216.0,0.0,0.0,176.5,0.0,631,216.0,157.25,58.75,216.0,A,B,B,0.0,157.25,184.0,0
9,94,open_sans,187.0,0.0,0.0,168.5,0.0,0.0,0.0,0.0,0.0,185.75,194.0,0.0,0.0,0.0,178.5,0.0,631,194.0,168.5,25.5,194.0,A,B,B,0.0,187.0,168.5,0
10,95,noto_sans,249.75,0.0,0.0,236.25,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,274.75,249.5,0.0,631,274.75,236.25,38.5,257.0,B,B,B,17.75,249.75,236.25,274.75
