font,age.group,mean,n,adj.se
open_sans,35 and Older,220.35119047619048,14,7.559018849489601
avantgarde,35 and Older,246.95833333333334,14,5.555028481853789
franklin_gothic,35 and Older,255.50520833333334,16,5.569328455428395
helvetica,35 and Older,257.0769230769231,13,5.717848377152244
arial,35 and Older,257.61333333333334,75,2.642613362697722
roboto,35 and Older,258.45238095238096,42,3.087912210524188
utopia,35 and Older,264.2142857142857,14,10.936010746066678
avenir_next,35 and Older,264.8611111111111,18,6.327027072243274
noto_sans,35 and Older,265.9675925925926,117,2.393943260750712
calibri,35 and Older,267.6446759259259,72,3.62498159504891
times,35 and Older,268.9625706214689,118,2.5829546774827548
oswald,35 and Older,271.9166666666667,9,10.028306195680354
poynter_gothic_text,35 and Older,273.0769230769231,13,8.39755361371136
lato,35 and Older,278.35,20,5.95430789836035
montserrat,35 and Older,295.83730158730157,21,6.365463468227897
garamond,35 and Older,335.8541666666667,8,14.113362856993264
montserrat,Under 35,257.7826086956522,23,11.386636662444518
poynter_gothic_text,Under 35,261.8939393939394,33,8.18063541219051
avantgarde,Under 35,265.9076086956522,23,10.074246118993
avenir_next,Under 35,269.1141975308642,27,7.51074095733896
roboto,Under 35,272.99102564102566,65,4.238547822230745
arial,Under 35,277.805376344086,155,3.0747347568933154
utopia,Under 35,277.9017857142857,28,7.298042365314724
times,Under 35,279.21982220835935,229,2.6682875671426647
calibri,Under 35,281.84090909090907,154,2.7083200178932434
open_sans,Under 35,282.5,19,9.494834888392678
franklin_gothic,Under 35,283.11607142857144,28,6.559255793765309
noto_sans,Under 35,283.71205096073516,228,2.6707003699327583
helvetica,Under 35,285.75925925925924,27,7.402850652955808
lato,Under 35,299.98148148148147,27,9.011584330800778
oswald,Under 35,303.4424019607843,34,6.623894440128658
garamond,Under 35,311.47474747474746,33,6.75647228440645
