step,part,block,round,iteration
pre_survey,pre_survey,pre_survey,-1,-1
training,instructions,instructions_overall,0,1
training,instructions,instructions_preference,0,1
training,font_competition,preference,0,1
training,font_competition,preference,0,2
training,font_competition,preference,0,3
training,font_competition,preference,0,4
training,font_competition,preference,0,5
training,font_competition,preference,0,6
training,font_competition,preference,0,7
training,instructions,instructions_reading,0,1
training,reading,speed,0,1
training,reading,speed,0,2
training,comprehension_questions,comprehension,0,1
training,passage_questions,mini_questions,0,1
normal,instructions,instructions_preference,1,1
normal,font_competition,preference,1,1
normal,font_competition,preference,1,2
normal,font_competition,preference,1,3
normal,font_competition,preference,1,4
normal,font_competition,preference,1,5
normal,font_competition,preference,1,6
normal,font_competition,preference,1,7
normal,font_competition,preference,1,8
normal,font_competition,preference,1,9
normal,font_competition,preference,1,10
normal,font_competition,preference,1,11
normal,font_competition,preference,1,12
normal,font_competition,preference,1,13
normal,font_competition,preference,1,14
normal,font_competition,preference,1,15
normal,font_competition,preference,1,16
normal,font_competition,preference,1,17
normal,font_competition,preference,1,18
normal,font_competition,preference,1,19
normal,font_competition,preference,1,20
normal,font_competition,preference,1,21
normal,font_competition,preference,1,22
normal,font_competition,preference,1,23
normal,font_competition,preference,1,24
normal,font_competition,preference,1,25
normal,font_competition,preference,1,26
normal,font_competition,preference,1,27
normal,font_competition,preference,1,28
normal,font_competition,preference,1,29
normal,font_competition,preference,1,30
normal,font_competition,preference,1,31
normal,font_validation,preference,1,1
normal,font_validation,preference,1,2
normal,font_validation,preference,1,3
normal,font_validation,preference,1,4
normal,font_validation,preference,1,5
normal,font_validation,preference,1,6
normal,instructions,instructions_reading,2,1
normal,reading,speed,2,1
normal,reading,speed,2,2
normal,comprehension_questions,comprehension,2,1
normal,passage_questions,mini_questions,2,1
normal,instructions,instructions_reading,2,1
normal,reading,speed,2,1
normal,reading,speed,2,2
normal,comprehension_questions,comprehension,2,1
normal,passage_questions,mini_questions,2,1
normal,instructions,instructions_reading,3,1
normal,reading,speed,3,1
normal,reading,speed,3,2
normal,comprehension_questions,comprehension,3,1
normal,passage_questions,mini_questions,3,1
normal,instructions,instructions_reading,3,1
normal,reading,speed,3,1
normal,reading,speed,3,2
normal,comprehension_questions,comprehension,3,1
normal,passage_questions,mini_questions,3,1
normal,instructions,instructions_reading,4,1
normal,reading,speed,4,1
normal,reading,speed,4,2
normal,comprehension_questions,comprehension,4,1
normal,passage_questions,mini_questions,4,1
normal,instructions,instructions_reading,4,1
normal,reading,speed,4,1
normal,reading,speed,4,2
normal,comprehension_questions,comprehension,4,1
normal,passage_questions,mini_questions,4,1
normal,instructions,instructions_reading,5,1
normal,reading,speed,5,1
normal,reading,speed,5,2
normal,comprehension_questions,comprehension,5,1
normal,passage_questions,mini_questions,5,1
normal,instructions,instructions_reading,5,1
normal,reading,speed,5,1
normal,reading,speed,5,2
normal,comprehension_questions,comprehension,5,1
normal,passage_questions,mini_questions,5,1
normal,instructions,instructions_reading,6,1
normal,reading,speed,6,1
normal,reading,speed,6,2
normal,comprehension_questions,comprehension,6,1
normal,passage_questions,mini_questions,6,1
normal,instructions,instructions_reading,6,1
normal,reading,speed,6,1
normal,reading,speed,6,2
normal,comprehension_questions,comprehension,6,1
normal,passage_questions,mini_questions,6,1
final,preferred_font,preferred_font,5,1
final,font_familiarity,font_familiarity,5,1
post_survey,post_survey,post_survey,-1,-1
